Libro del desasosiego ,"Pessoa, Fernando",Ensayo ,
Los días de Birmania,"Orwell, George",Novela,
Infancia,"Coetzee, J.M.",Novela,
Mis dos mundos,"Chejfec, Sergio ",Novela,*
Con mi voz sonora: Campanas y toques de campana en la catedral y otros templos históricos de Santiago (1789-1899),"Sato Besoaín, Eduardo",Ensayo,
Apuntes de un constituyente ,"Squella, Agustín ",Ensayo,
Inspirón,Chinoy,Poesía,
Velocidad Crucero Felicidad Lucero,Chinoy,Poesía,
La bebedora de sangre y otros cuentos,Rachilde,Narrativa,
El hombre sentimental,"Marías, Javier ",Narrativa,
La conciencia de Zeno,"Svevo, Italo ",Narrativa,
Memorias de Adriano,"Yourcenar, Marguerite ",Narrativa,
Una novela china,"Aira, César",Narrativa,
Estrella de la mañana,"Rojas, Rodrigo ",Poesía,
Desierto,"Plaza, Daniel ",Novela,
Casa volada,"Ovando, Francisco ",Narrativa,
Elegías Doppler,"Lerner, Berner",Poesía,
Estación adversa,"Oyarzún Cartagena, Vicente",Poesía,
Al vuelo,"Hojas, Isabel",Infantil,
Metraje encontrado,"Carrasco, Germán ",Poesía,
Extremely loud and incredibly close,"Safran Foer, Jonathan ",Narrativa,
Estelario,"Balcells, Ignacio ",Poesía,
Antitierra,"Tentoni, Valeria ",Poesía,
Vacaciones domésticas,"Parra, Marcela ",Poesía,
Ya nadie baila,"Sastre, Elvira ",Poesía ,
El latifundista,"Queirolo Bravo, Jorge",Narrativa,
El reparto de lo sensible: Estética y política,Jacques Rancière,Filosofía,
Al final del camino,"Campos Carvajal, Ester",Poesía ,
Palabras del corazón,"Edwards, Richard",Poesía,
Ser morada,"Franke García, Luis Alberto",Narrativa,
Poemas dignos,"Mejías Pinilla, Hugo",Poesía,
El baile de las condiciones,"Pablo, Oscar de ",Poesía,
Los murciélagos,"Bremermann, Emanuel ",Novela,
Cuaderno Alemán,"Negroni, María ",Narrativa,
El factor humano,"Greene, Graham ",Narrativa,
Un rey sin diversión,"Giono, Jean ",Narrativa,
Movimiento de traslación,"Opazo Hernández, Jonnathan",Narrativa,
Tránsfugo ,"Morales, Andrés ",Poesía,
Temblores: Del cuerpo sonoro de Hegel,"Durán Rojas, Cristóbal ",Ensayo (Filosofía),
Un episodio en la vida del pintor viajero,"Aira, César",Narrativa,
Rascacielos,"Winter, Enrique ",Poesía,
Adiós Rimbaud,"Avendaño, Carmen ",Poesía,
Los infelices,"Chain, Fesal ",Narrativa,
Ciudad santuario,"Sherlock, Frank ",Narrativa,
Mosquitos,"Faulkner, William ",Narrativa,
"Salomón, Rey de Reyes","Cavalcanti, Guido ",Ensayo (historia),
Poetas de Lisboa,"Matta, María ",Poesía,
Basura,"Abad Faciolince, Héctor",Narrativa,
El humo sobre la tierra,"Arduino Pavón, Manuel ",Narrativa,
El último gaucho,"Kreiman, Franisco ",Poesía,
El fotógrafo de Dios,"Simonetti, Marcelo ",Narrativa,
