Memorias del calabozo,"Rosencof, Mauricio; Fernández Huidobro, Eleuterio",Ensayo,V
La lista de Bergoglio: Los salvados por Francisco durante la dictadura. Una historia no contada,"Scavo, Nello",Ensayo (historia),V
"El Mil, Puig Antich y los Gari","Tajuelo, Telefósforo",Ensayo (historia),V
Los Pinochet Boys: Chile (1984-1987),"Conejeros, Miguel",Arte,V
El perro civilizado,"Macchiavello C., Marco",Ensayo,V
"Corresponsales bajo dictadura: (Chile, 1973-1990)","Milesi, Orlando",Ensayo (periodismo),V
El amor es imposible: Ocho tesis filosóficas,"Sztajnszrajber, Darío",Ensayo (filosofía),V
La Ciudad de las Bestias,"Allende, Isabel",Novela,V
La virgen cabeza,"Cabezón Cámara, Gabriela",Novela,V
La hora final: La verdad sobre la captura de Abimael Guzmán,"Paredes, Carlos",Ensayo (periodismo),V
Dejen todo en mis manos,"Levrero, Mario",Novela,V
Diez,"Emar, Juan",Novela,V
El alma de las flores: Antología poética bilingüe,"Misuzu, Kaneko",Poesía,V
Los errantes,"Tokarczuk, Olga",Novela,V
Antologia (1973-2014),"Bertoni, Claudio",Poesía,V
Violeta,"Bertoni, Claudio",Poesía,V
Cartas a Lucilio: Epístolas Escogidas,Séneca,Ensayo (Filosofía),V
ETA 1958-2008: Medio siglo de historia,"Casanova, Iker",Ensayo (Historia),V
Como la no-violencia protege al Estado,"Gelderloos, Peter",Ensayo (sociología),V
